seed,scenario,sequence_index,sequence_id,slot,start,end_exclusive,channels,signs,duration,magnitude_std,offset_from_nearest_transition,scale_source,split,corruption_type
42,duration24,1,valf_20260921_42_warehouse_001,0,0,24,[1],[-1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,1,valf_20260921_42_warehouse_001,1,63,87,[2],[-1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,2,valf_20260921_42_warehouse_002,0,104,128,[0],[-1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,2,valf_20260921_42_warehouse_002,1,8,32,[1],[1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,3,valf_20260921_42_warehouse_003,0,142,166,[2],[1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,3,valf_20260921_42_warehouse_003,1,88,112,[2],[-1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,4,valf_20260921_42_transit_smooth_000,0,101,125,[0],[-1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,4,valf_20260921_42_transit_smooth_000,1,39,63,[1],[1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,5,valf_20260921_42_transit_smooth_001,0,70,94,[2],[-1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,5,valf_20260921_42_transit_smooth_001,1,128,152,[2],[-1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,6,valf_20260921_42_transit_smooth_002,0,75,99,[0],[1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,6,valf_20260921_42_transit_smooth_002,1,5,29,[1],[1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,7,valf_20260921_42_transit_smooth_003,0,140,164,[1],[1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,7,valf_20260921_42_transit_smooth_003,1,9,33,[0],[-1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,8,valf_20260921_42_transit_rough_000,0,12,36,[2],[-1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,8,valf_20260921_42_transit_rough_000,1,55,79,[0],[1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,9,valf_20260921_42_transit_rough_001,0,128,152,[2],[-1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,9,valf_20260921_42_transit_rough_001,1,74,98,[0],[1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,10,valf_20260921_42_transit_rough_002,0,120,144,[2],[1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,10,valf_20260921_42_transit_rough_002,1,14,38,[1],[-1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,11,valf_20260921_42_transit_rough_003,0,1,25,[1],[1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,duration24,11,valf_20260921_42_transit_rough_003,1,74,98,[0],[1.0],24,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count1,0,valf_20260921_42_warehouse_000,0,116,128,[0],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count1,1,valf_20260921_42_warehouse_001,0,0,12,[1],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count1,2,valf_20260921_42_warehouse_002,0,104,116,[0],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count1,3,valf_20260921_42_warehouse_003,0,142,154,[2],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count1,4,valf_20260921_42_transit_smooth_000,0,101,113,[0],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count1,5,valf_20260921_42_transit_smooth_001,0,70,82,[2],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count1,6,valf_20260921_42_transit_smooth_002,0,75,87,[0],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count1,7,valf_20260921_42_transit_smooth_003,0,140,152,[1],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count1,8,valf_20260921_42_transit_rough_000,0,12,24,[2],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count1,9,valf_20260921_42_transit_rough_001,0,128,140,[2],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count1,10,valf_20260921_42_transit_rough_002,0,120,132,[2],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count1,11,valf_20260921_42_transit_rough_003,0,1,13,[1],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,0,valf_20260921_42_warehouse_000,0,116,128,[0],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,0,valf_20260921_42_warehouse_000,1,1,13,[2],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,0,valf_20260921_42_warehouse_000,2,48,60,[0],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,1,valf_20260921_42_warehouse_001,0,0,12,[1],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,1,valf_20260921_42_warehouse_001,1,63,75,[2],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,1,valf_20260921_42_warehouse_001,2,117,129,[0],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,2,valf_20260921_42_warehouse_002,0,104,116,[0],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,2,valf_20260921_42_warehouse_002,1,8,20,[1],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,2,valf_20260921_42_warehouse_002,2,141,153,[2],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,3,valf_20260921_42_warehouse_003,0,142,154,[2],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,3,valf_20260921_42_warehouse_003,1,88,100,[2],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,3,valf_20260921_42_warehouse_003,2,6,18,[2],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,4,valf_20260921_42_transit_smooth_000,0,101,113,[0],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,4,valf_20260921_42_transit_smooth_000,1,39,51,[1],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,4,valf_20260921_42_transit_smooth_000,2,139,151,[0],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,5,valf_20260921_42_transit_smooth_001,0,70,82,[2],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,5,valf_20260921_42_transit_smooth_001,1,128,140,[2],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,5,valf_20260921_42_transit_smooth_001,2,27,39,[2],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,6,valf_20260921_42_transit_smooth_002,0,75,87,[0],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,6,valf_20260921_42_transit_smooth_002,1,5,17,[1],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,6,valf_20260921_42_transit_smooth_002,2,124,136,[2],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,7,valf_20260921_42_transit_smooth_003,0,140,152,[1],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,7,valf_20260921_42_transit_smooth_003,1,9,21,[0],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,7,valf_20260921_42_transit_smooth_003,2,80,92,[0],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,8,valf_20260921_42_transit_rough_000,0,12,24,[2],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,8,valf_20260921_42_transit_rough_000,1,55,67,[0],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,8,valf_20260921_42_transit_rough_000,2,98,110,[0],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,9,valf_20260921_42_transit_rough_001,0,128,140,[2],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,9,valf_20260921_42_transit_rough_001,1,74,86,[0],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,9,valf_20260921_42_transit_rough_001,2,6,18,[0],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,10,valf_20260921_42_transit_rough_002,0,120,132,[2],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,10,valf_20260921_42_transit_rough_002,1,14,26,[1],[-1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,10,valf_20260921_42_transit_rough_002,2,81,93,[1],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,11,valf_20260921_42_transit_rough_003,0,1,13,[1],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,11,valf_20260921_42_transit_rough_003,1,74,86,[0],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,count3,11,valf_20260921_42_transit_rough_003,2,130,142,[2],[1.0],12,1.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,0,valf_20260921_42_warehouse_000,0,116,128,[0],[-1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,0,valf_20260921_42_warehouse_000,1,1,13,[2],[1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,1,valf_20260921_42_warehouse_001,0,0,12,[1],[-1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,1,valf_20260921_42_warehouse_001,1,63,75,[2],[-1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,2,valf_20260921_42_warehouse_002,0,104,116,[0],[-1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,2,valf_20260921_42_warehouse_002,1,8,20,[1],[1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,3,valf_20260921_42_warehouse_003,0,142,154,[2],[1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,3,valf_20260921_42_warehouse_003,1,88,100,[2],[-1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,4,valf_20260921_42_transit_smooth_000,0,101,113,[0],[-1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,4,valf_20260921_42_transit_smooth_000,1,39,51,[1],[1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,5,valf_20260921_42_transit_smooth_001,0,70,82,[2],[-1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,5,valf_20260921_42_transit_smooth_001,1,128,140,[2],[-1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,6,valf_20260921_42_transit_smooth_002,0,75,87,[0],[1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,6,valf_20260921_42_transit_smooth_002,1,5,17,[1],[1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,7,valf_20260921_42_transit_smooth_003,0,140,152,[1],[1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,7,valf_20260921_42_transit_smooth_003,1,9,21,[0],[-1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,8,valf_20260921_42_transit_rough_000,0,12,24,[2],[-1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,8,valf_20260921_42_transit_rough_000,1,55,67,[0],[1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,9,valf_20260921_42_transit_rough_001,0,128,140,[2],[-1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,9,valf_20260921_42_transit_rough_001,1,74,86,[0],[1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,10,valf_20260921_42_transit_rough_002,0,120,132,[2],[1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,10,valf_20260921_42_transit_rough_002,1,14,26,[1],[-1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,11,valf_20260921_42_transit_rough_003,0,1,13,[1],[1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude2,11,valf_20260921_42_transit_rough_003,1,74,86,[0],[1.0],12,2.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,0,valf_20260921_42_warehouse_000,0,116,128,[0],[-1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,0,valf_20260921_42_warehouse_000,1,1,13,[2],[1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,1,valf_20260921_42_warehouse_001,0,0,12,[1],[-1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,1,valf_20260921_42_warehouse_001,1,63,75,[2],[-1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,2,valf_20260921_42_warehouse_002,0,104,116,[0],[-1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,2,valf_20260921_42_warehouse_002,1,8,20,[1],[1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,3,valf_20260921_42_warehouse_003,0,142,154,[2],[1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,3,valf_20260921_42_warehouse_003,1,88,100,[2],[-1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,4,valf_20260921_42_transit_smooth_000,0,101,113,[0],[-1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,4,valf_20260921_42_transit_smooth_000,1,39,51,[1],[1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,5,valf_20260921_42_transit_smooth_001,0,70,82,[2],[-1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,5,valf_20260921_42_transit_smooth_001,1,128,140,[2],[-1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,6,valf_20260921_42_transit_smooth_002,0,75,87,[0],[1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,6,valf_20260921_42_transit_smooth_002,1,5,17,[1],[1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,7,valf_20260921_42_transit_smooth_003,0,140,152,[1],[1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,7,valf_20260921_42_transit_smooth_003,1,9,21,[0],[-1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,8,valf_20260921_42_transit_rough_000,0,12,24,[2],[-1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,8,valf_20260921_42_transit_rough_000,1,55,67,[0],[1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,9,valf_20260921_42_transit_rough_001,0,128,140,[2],[-1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,9,valf_20260921_42_transit_rough_001,1,74,86,[0],[1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,10,valf_20260921_42_transit_rough_002,0,120,132,[2],[1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,10,valf_20260921_42_transit_rough_002,1,14,26,[1],[-1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,11,valf_20260921_42_transit_rough_003,0,1,13,[1],[1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,magnitude4,11,valf_20260921_42_transit_rough_003,1,74,86,[0],[1.0],12,4.0,,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,0,valf_20260921_42_warehouse_000,0,116,128,[0],[-1.0],12,1.0,-4.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,0,valf_20260921_42_warehouse_000,1,1,13,[2],[1.0],12,1.0,-59.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,1,valf_20260921_42_warehouse_001,0,0,12,[1],[-1.0],12,1.0,-60.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,1,valf_20260921_42_warehouse_001,1,63,75,[2],[-1.0],12,1.0,3.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,2,valf_20260921_42_warehouse_002,0,104,116,[0],[-1.0],12,1.0,-16.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,2,valf_20260921_42_warehouse_002,1,8,20,[1],[1.0],12,1.0,-52.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,3,valf_20260921_42_warehouse_003,0,142,154,[2],[1.0],12,1.0,22.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,3,valf_20260921_42_warehouse_003,1,88,100,[2],[-1.0],12,1.0,28.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,4,valf_20260921_42_transit_smooth_000,0,101,113,[0],[-1.0],12,1.0,-19.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,4,valf_20260921_42_transit_smooth_000,1,39,51,[1],[1.0],12,1.0,-21.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,5,valf_20260921_42_transit_smooth_001,0,70,82,[2],[-1.0],12,1.0,10.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,5,valf_20260921_42_transit_smooth_001,1,128,140,[2],[-1.0],12,1.0,8.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,6,valf_20260921_42_transit_smooth_002,0,75,87,[0],[1.0],12,1.0,15.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,6,valf_20260921_42_transit_smooth_002,1,5,17,[1],[1.0],12,1.0,-55.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,7,valf_20260921_42_transit_smooth_003,0,140,152,[1],[1.0],12,1.0,20.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,7,valf_20260921_42_transit_smooth_003,1,9,21,[0],[-1.0],12,1.0,-51.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,8,valf_20260921_42_transit_rough_000,0,12,24,[2],[-1.0],12,1.0,-48.0,E1c_train_fit_per_true_regime,val_new,segment_bias
42,switch_random,8,valf_20260921_42_transit_rough_000,1,55,67,[0],[1.0],12,1.0,-5.0,E1c_train_fit_per_true_regime,val_new,segment_bias
